the_review,topics
"I got this for my mother because she wanted something pink and cheap. It really feels like its made of trash. It does seem to work well enough, though the tracking is inconsistent at best. The ergonomics are really non existent, doesn't seem like it's made for human hands.Overall, if you're buying for somebody who wants something cheap and pink and cant tell the difference go for it, but if you actually care about having a half decent mouse skip this one.",keyboard_speakers
Like it’s size. Perfect fit for laptop bag,mouse
"Nice mouse, a little too lightweight for my liking. Battery lasts a while.Track wheel already broke, unfortunately.",mouse
"The on/off switch often feels like there is sand in the mouse when moving it, it’s not a smooth move like I would have expected. I like the mouse but that roughness is annoying at times.",mouse
It’s taken me a while to remember to turn it on after it sits awhile.,mouse
very good product.,headphone
I love this mouse it’s quiet and pretty and the battery lasts a while I probably charge it once maybe twice a week,mouse
"It’s ergonomic and stylish. Very cute colors and cool lights. Comes with all the attachments like cords for charging and it has a small indent under the mouse to keep the part that plugs into your laptop. I’m forever losing mine so that’s a great feature. Very quiet as well. I recommend it for a nice, cheap little mouse.",mouse
Amazing feels cheap but is very durable,headphone
"Very nice mouse , love the size and feel",headphone
love the colors so far ok,mouse
"i love the different colors, easy to find at night.  holds a charge for a few days.",mouse
"Soft, light, smooth.",mouse
I like how light and easy to handle is!,mouse
Love it,headphone
its a slick well made mouse and i will be buying another one thanks to manufacturer for nice creativity in build!!,mouse
"I really liked this mouse when I first got it. It was low profile, had a nice soft and quiet click, had rainbow lights, and was available in a rose gold color. I thought I'd made a great purchase. Now, I've had it for less than 2 months and the scroll wheel is so squeaky. I can't stand to hear it when I'm scrolling through documents. Bummed it was a lemon!",mouse
i use the mouse instead of mousepad,mouse
very nice,headphone
Prompt delivery on an awesome product,headphone
"The colors were great while it worked. The wheel broke, and the usb fell apart when pulling it out of the computer.",mouse
"Lightweight mouse, easy to charge, CAN USE WHILE CHARGING, and I like the teal color I got with fun colors lighting up. Makes my office work and time at the computer feel a little less boring. Easy to connect and works well with iMac.",mouse
"You have to press down very hard on the mouse, it gets very annoying. I wish I still had the box I’d return it",mouse
Perfect little mouse! This mouse is so easy to use and to charge up it’s lightweight I love the little colors and it fits my hand perfectly,mouse
Perfect in my office love the lightweight and easy to use.,mouse
The mouse has good shape and charges quickly but the roll just broke after one week of use,mouse
Sleep mode works well,mouse
"Simple to use.  Long battery life.  recharges by plugging into your computer.  This is the first mouse i've enjoyed using that wasn't wired.  This works much better than the old battery opperated ones, and has a much longer battery life.",mouse
It doesn't stay charged for very long,mouse
"Just plugged it in and it worked perfectly.  I wanted a small, low profile mouse to use when I travel, so far this one seems great.  The Chromebook I travel with only has usb-C ports, and I did think that that this mouse came with a usb-c receiver, but it doesn't.  It comes with usb receiver and an adapter which works fine but together they are over an inch long which is a little awkward.  It means I have to be very careful not to bump it and beak it.  If the receiver were smaller this would be ideal.  Overall, great value.",mouse
Quiet and just what I was looking for,mouse
"It looks awesome and is really quiet. only had it for a short time, but I love it.",mouse
Mine stopped working… it doesn’t work on a mouse pad. And freezes when I use it on top of a flat surface.,mouse
"Battery takes forever to die which is great, sleep mode helps a lot. It’s thinner and smoother than any other mouse I’ve own. Love the lights!!!!",mouse
Purchased two. Works as described.You can't beat this price.Highly recommend!,headphone
"I got it for my husband, he chose his colors lol",mouse
I like that it does not need batteries. The battery lasts a long time.,mouse
"Right out of the box, the mouse never worked. The buttons activate, but the mouse never moved the cursor.  Junk.",mouse
Very good,headphone
"Initially I thought it’s a great piece but slowly I am struggling to use it as it stops working or goes to sleep for long. I does not get activated by just simply moving a bit, has to moved few times or even hit it on pad at time.",mouse
"I bought this for my work laptop and I really like it.  The coloring changing option is fun, but I don’t turn that on very often so the charge lasts longer.  I have small hands and it fits my hand comfortably.",mouse
Love this mouse it has a sleek design and works wonderful! Love the quietness and the perfect fit for my small hands.,mouse
Nice mouse and l like that the mouse sleeps to save the battery.,mouse
"looks like the track wheel is connected to an internal device using a very fragile thin piece of plastic.  I was simply using the mouse (I didn't drop it or slam it) and suddenly the tactile feedback of using the track wheel stopped and the mouse would no longer scroll the screen.  too bad, I actually liked the mouse until then.",mouse
Mouse is nice and lightweight and quiet. But its lags and jumps around sometimes,mouse
"I admit I was going to return this item because I did not understand the little USB attachment was on the bottom of the device.  I had charged it, but was using the little black USB insert in my laptop which did not work.  Once I inserted the white short USB from underneath the pointer, my computer accepted it and it works great!  I am still learning how to use these devices at age 74.  It is gorgeous and works!",mouse
Mouse works well and is a good value for the inexpensive price.,headphone
"Ordered this mouse in early September 2021, as of today it no longer holds a charge.I bought this mouse to have something portable to go along with my laptop as I generally dislike using the trackpad. It's size was ideal and it was overall comfortable and easy to use. However, this mouse does not hold a charge AT ALL. I had to charge it at least twice per week - remember this is not a mouse I used on my primary computer either! (and yes I do turn it off when it is stored in my bag.)Not thrilled that I now have to replace it after only 1 year of use and will not be purchasing again.",mouse
glitchy and charge doesn't last,mouse
"Nice size, color is true to expectation. Easy use and setup. Has usbc adapter included for newer hardware. USB adapter fits in base of mouse. Works well on multiple surfaces. Quick charging.",mouse
Works great,headphone
As expected. Would buy again,headphone
I work from home and this mouse is very comfortable and responsive.,mouse
This mouse is much faster than my last few. I like the charging system. Drawback is when the charger comes missing( and it will happen in my house) how to replace it?,mouse
Works like it should and it’s super easy to set up.,headphone
Unfortunately the scroll function is already broken. Otherwise this is a very cute and comfy mouse. I love the lights.,mouse
Beautiful!,headphone
it is easy to use,headphone
"This works like a normal mouse and everything! However, the light that's in the mouse is so bright, it shines through the white on my mouse. It's not good aesthetically, however, if you want a mouse that does mouse things, this one's fine.",mouse
Great item,headphone
Great product,headphone
"Love this mouse overall- beautiful lights, fits well in hand, responsive - but wheel broke after less than one month of regular use for design work. Very sad. This is the second mouse I've bought (first lasted 6 months, same issue) because I like it so much. Unfortunately, will be looking for something different for my next mouse.",mouse
The scrolling wheel is not working properly after 5 months so have to buy a new mouse. The USB charging feature is nice though and it is easy to carry.,mouse
VERY COMFOT,headphone
"Love this mouse. Take it anywhere, it's classy yet a little sexy for my workspace. It's very adaptable to who needs it in my house for their devices!",mouse
Holds a charge for days!!,mouse
Works perfectly with my Chromebook,mouse
For me personally just not a good fit,keyboard_speakers
Sensitive mouse. Maybe because it’s new. Works fine,mouse
"This mouse is very useful and beautiful colors, I thought it wouldn’t fit my Mac but it came with a Mac adapter.  Very convenient! And cute too!",mouse
"The scroll wheel broke after using this for like 3 days, very light use too.",mouse
I wound up returning because I non longer needed it but it I did try it out and it worked amazingly! I love how quiet and sleek it was and the adapter was perfect for my MacBook.,mouse
Ease of use and portability,headphone
Good mouse,mouse
Love it,headphone
Not for regular or big hands,mouse
This wireless mouse works great ! It’s light and connected right to my MacBook Air with no problem.,mouse
It’s good for a lighting up mouse but isn’t for gaming really,mouse
This product is slim and doesn't fail. Easy click though and lights up. Charge lasts a few day,mouse
It works just fine just not practical. I always have to recharge the battery. It is a bit of an annoyance.,mouse
Works good and plug and play.,headphone
"I love the color and how slim it is, I use it for work/school.",mouse
Super light and cute,mouse
It works well,headphone
Liked the recharge aspect,mouse
Great buy…,headphone
I just love this wireless mouse.  It's not big and bulky.  The clicking is quite and it's really cute looking.,mouse
It just gets stains easily,keyboard_speakers
"It's a great mouse, perfect and just what I was looking for. It's really quiet which I appreciate because louds clicks do get annoying after some time but not with this mouse. The lights are cool too! Really slim, so it's easy to pack in my work bag, and it feels great while using it.",mouse
fits well to contour of hand.  withstands multiple drops to the floor.  battery lasts quite a while after charging.  color changing is pretty.,mouse
works on phone laptop TV all that pretty cool and lights up so wahoo,mouse
"I like the fact that it turns off after some time, I like that it works with USB-C and I like that I can use it with my Mac or my PC and I like the charging cable.",mouse
"I use this mouse with my laptop, it worked pretty good when I first got it, then the wheel quit working. I have no idea why .",mouse
"Worked great for about 9 months. Stays charged for a long time, and like being able to use the C port in my laptop. However now the scroll button moves erratic. Scrolling down the page and the page jumps up., go up and it jumps down.",mouse
"I love this mouse! Easy to set up, easy to use. It seems to go forever on one charge. And the ever changing light color is really cool.",mouse
"Sleek and nice, love the colors! Great buy!",headphone
So cute and charge lasts forever,mouse
What I REALLY liked was the USB to type C adapter which allowed me to plug USB memory sticks into my smart phone.,mouse
Love this little mouse for work. The clicking is soft and quiet so it's not annoying when I'm clicking on my computer all day. The color is pretty too and I love the lights.,mouse
The roller on top of the mouse quits working or falls down in the mouse.The colors and lights are fun but the mouse itself is defective. I have had 2 at this point and will not buy another.,mouse
I absolutely love this mouse!  Great color!  Matches my laptop perfectly!  I love the color changing mode!  So fun!,mouse
"Sleek look and Battery lasts extremely long, I’ve only had to charge it once since getting it. Highly recommend!",mouse
" Feels great, wide and comfortable.  Lights up when you move around.  Likes so much I Bought a second one too.",headphone
"I got this mouse to use with my laptop, and it's great. Glides easily, holds a charge for quite a while, and enters sleep mode when not in use. To wake the mouse up, you just right or left click. The changing lights are a great and fun touch",mouse
Everything,mouse
This is the worst mouse ever it’s hard to glide and it goes dead very fast. Wish I could return it!,mouse
Worthless to spend 20 min trouble shooting every time i need to use it.,mouse
"The center scroll wheel lasted less than a week. The mouse itself still works, but it is aggravating that every time you use muscle memory to scroll with a wheel that doesn't work. Decent battery life. Bought a new, different brand mouse to replace it. The mouse also doesn't have much of an arch to it, so its not very ergonomic. Its better than a laptop track-pad though.",mouse
I love this mouse. I love how quite it is when I use it. Love the sleep feature on it as well. I have nothing bad to say about it. I use it for my online schooling.,mouse
gets insensitive very quickly and it's so hard to use; light and small and not ergonomic at all; dont recommend buying,mouse
"Works great, love the quiet clicks, perfect for school without being the annoying one when everything is silent",mouse
love it,headphone
HP laptop compat,mouse
"I have to charge this mouse way more than I expected especially since I use it for work. Won't buy this again, otherwise seems to work fine besides sometimes jumping from where I have the pointer on the screen to a whole other area. Casual usage this may be fine for you",mouse
This was the worst mouse I've bought it goes dead very fast and then you have to charge it all night for it to die fast again. I would NOT recommend this mouse.,mouse
good,headphone
Works as described.,headphone
"My wrist no longer hurts after being on my computer. Sexy running lights let me see where it is on my desk. I love the pink color, now no one can take it when there batteries are dead and claim your mouse needs batteries. Gotta love family ingenuity.",mouse
I liked the fact that it uses no battery.  But the charge does not last too long.,mouse
"Works great.  It’s a little too small and would stress my hand if I used it all day, everyday, but I don’t. So I’m keeping it and am content.  To be more specific, the buttons are not directly below my fingertips (which would be solved by a longer mouse OR an ergonomic one that has a little more height to it.). I’m an averaged sized male, and to my knowledge my hand is typical of that size of person haha.  Hope this helps.",mouse
"It was cheap and the lights are fun but it was cheap and doesn’t work great. Squeaky wheel as you’re scrolling, sometimes it doesn’t track well so that’s annoying. But it gets the job done if your patient. Select a different one.",mouse
I like idea of not needing batteries but needs approvements.,mouse
"love this mousepad, the clicking is silent and it looks pretty, but the thing dies so FAST!! I work 40 hour week from home and i have to charge the mouse like every day",mouse
I bought this for my work laptop and just love it. Easy to use and love that it is rechargeable. Fantastic design so it’s not hard on your hands and connects easily with no issues.,mouse
Ergonomic. I would also like to have a full size for desktop use. Multi-color LED adds a nice decorative touch. Mouse wakes up from sleep mode with first click.,mouse
Quality and matches the description. I like it.,mouse
Worth it,headphone
"My mouse, no matter how charged it is, loves to just randomly jump to the side of my screen. It's been like this since I first plugged it in... besides that, it's pretty, and I like how the lights combined. It's also really helped me with my carpal tunnel issues.",mouse
"I ordered this product but the cursor kept jumping around the screen, even when it was fully charged. I figured I just got a bad apple so I made an exchange for a new one. The new mouse came scratched (not a big deal) and the scroll wheel wasn't as smooth (annoying but its fine) but this one's cursor is jumping around the screen too! I would have otherwise liked the mouse. It charges up quickly and I appreciate the sleep mode so that that battery life lasts longer.",mouse
Does what its meant for,mouse
"I used this mouse for work as I am a hybrid worker and do most work in the field or different workspaces. When the mouse leaves my home office to go with me, it has its own individual protective/padded case in my work bag.  Worked great until it just stopped working, which is very disappointing after almost 4 months.The mouse still lights up, looks like it works, took a charge from the charger, but will not move on the screen in my work computer (Thinkpad) or personal computer (MacBook). That said, either the mouse internally stopped working in some aspect or the USB dongle is defective per my IT consultant. I tried all possible USB ports, even those on my Apple Magic keyboard and still does not move on the screen. I also tried every idea I could find to reset/repair the issue in line to no avail.It is disappointing and a huge inconvenience this happened. You would expect a product to last more than 4 months. For my coworkers that asked about my mouse as they thought it was cool, they will now be told it died only after a short period of time and cautioned if they decide to buy one.I have yet to hear back from their customer service. And not sure I ever will. Maybe it is true after all, you get what you pay for. Now I need to buy another new mouse, which was something I hoped to not have to worry about for a long time.Please keep in mind, I do not leave this review to bash the company. This review is to let people know my experience with the mouse. Like I said, it worked great until it just stopped working (still lights up, just will not move on my screen) for no apparent reason as it work the night before (8/30/22).Buyer beware.",mouse
I haven’t used the “sleep mode “ and don’t do gaming,mouse
Real light weight. Easy to use. Connects quickly,headphone
I love that the color changes. I haven’t had any problems with it,mouse
Love the size of it,headphone
I have bought several of these since this first one.  They work amazing.I have had no issues and I recommend this seller and mouse brand alot.The price is so good!,headphone
"I like this item a lot. Very fairly priced and the low profile makes it easy on my hand. I don't have the largest hands, but not very small either and a mouse with a high hump is very uncomfortable. This solves that problem nicely. I could do without the sleep mode; I am still getting used to waking it up, and i understand the value of sleep mode so I deal with it. Never having to deal with batteries is also a bonus. Charging it overnight is ideal but I have already forgotten a couple of nights and it's fine. If necessary, you can plug it in and use it while it charges.",mouse
"Mouse works great,  better than expected.",headphone
I was concerned that this would be difficult to setup. But I was shocked on how easy it was to connect.,mouse
"I bought this mouse to replace one that had the mousewheel break.  To be honest, I loved this mouse  at first - the lights, the feel, everything.  However, I was not a fan of the extra added adapter to make it USB-C compatible.  Here I am 2 months after I bought it and the mousewheel no longer functions on this mouse as well.  For some reason the companies that make these portable mouse (mice?) cannot make one that has a sturdy mouse wheel.  Oddly enough, the one thing I didn't like about the mouse originally, became my favorite thing now that it is broken - the adapter to allow me to run regular USB on a USB-C port.",mouse
"I ordered 2 - the track ball broken in the silver one within 60 days, the right click broke on the rose gold one within 90 days. I only use them for light use - no gaming and they are not sturdy at all. They were both difficult to charge",mouse
Skips around and freezes when clicking on things. Save your money!,mouse
"I had to buy two different mice within 4 months. The scroll button stopped working on both devices. Other than that, okay product. LED light function is cool, sleek style and easily rechargeable.",mouse
"Quiet, fast, works super well! I don’t game but I use it for work and it’s perfect",mouse
I use this mouse for work. It didn’t require any weird setup like downloading software. It’s super comfy and has a sleep mode that activates after about 15 minutes. A click of the button wakes it up and it’s ready to go. I don’t regularly use the light up mode but it is a cool feature that is fun to show off. I have carpal tunnel and it’s so much better on my wrist than a standard wired computer mouse. Most definitely worth the purchase!,mouse
The mouse itself is great - works well. however the roller ball on the top of the mouse broke and no longer works. It has only been 6 weeks since purchase.I do like that the lights have an on/off function so you don't need to have it lit all the time which makes it more appropriate when in a work environment.,mouse
I use this in class and at home and there is not any noise when you are clicking the buttons. Which is nice when we are quietly working on things. I would highly recommend! The color changing is also great!,mouse
I guess almost a year for under $10 is good enough.  Especially if you want one that recharges because you don't like fooling around with AA batteries. Battery life was good. I could use it all day with no problems.,mouse
Good,headphone
It was most important to me to have a quiet scrolling mouse for my laptop. This mouse has quiet/silent scrolling and silent clicking. Very impressed! The mouse is more of a flat design. The lights around it are pretty neat. There is an on/off switch on the bottom of the mouse that includes an option for the lights as well. Nice mouse for a great price.,mouse
"I bought five of them this year and three already broke after a few months of light use. Two had the plastic wheel axle broken, the another one just stopped charging and not recognized by Windows anymore. In addition, the USB dongle cover separated and got stuck in the laptop USB port. This mouse is flimsy and does not last. Not very ergonomical as well. Cool lights is the only positive thing to say about this mouse, but it eats battery. Avoid.",mouse
"I have logitech keyboard that I use with no problem with my other mouse, but when i plug this mouse in, the keyboard stops working. The dongle is also hard to remove from the back of the mouse. I had to get something small to pry it out. I little space for your finger to grab it more easily would have been nice.",mouse
Love it...good price and product.,headphone
"It’s rechargeable, and the battery lasts quite some time, of course I always turn it off once I’m done using it. But no more batteries. Comes with the charger as well. What more could you ask for!",mouse
"I feel like I won this out of a cheap Gumball machine.  Plastic, doesn’t feel like it’s going to last long.",mouse
"LED Wireless Mouse, Rechargeable Slim Silent Mouse is easy to use, lightweight, and easy to recharge. The charge last a long time.",mouse
"It does not move correctly. When you move the mouse the cursor doesn’t move same thing when you click on something, you have to click a million times before it opens up what your doing or closes what your doing.",mouse
Ease of installing and very super cool looking at my laptop!,mouse
"This mouse has The Quietest click of any mouse I've ever owned. And it puts itself to sleep if I don't move it for a while. It's magical. I wasn't sure about the color changing light, but it's not overpowering or distracting. I've had a very long line of previous wireless mice, but I think this is my favorite. Very pleased with this purchase.",mouse
Broke within two hours of using it you really gotta watch the Amazon return policy on electronics I have a tendency to buy it and I leave it sitting in the box for way too long.  Bad me because this is the second or third time I’ve gotten burned on crap like this.,keyboard_speakers
"Love this mouse! I got it to replace my Logitech mouse because it was glitching. You can’t beat the price for this one, it’s light weight, and the colors are nice!",mouse
" The ergonomic feel of the mouse is great and the battery life is amazing. It is lightweight and feels cheap. White matches my setup but it’s translucent and takes way from the aesthetic. It is connected less than a ft away and it still loses connectivity which causes it to lag. It makes it completely useless to me. I don’t recommend you buy it, at least not the white one and be aware of the lagging.",mouse
"Great product, very competitive price.",headphone
I purchased for my kids to use while doing online class work. It was easy to set up and seems to work well. I was hoping for something that felt more sturdy. It feels very cheap. The kids love the changing lights while they use the mouse. My only complaint is that if they don’t remember to turn off the noise after use then it dies and has to be recharged before if can be used again,mouse
I really like this. This is a replacement for a broken battery operated one I used to have. I love that this can charge from a USB port and I'm not having to rely on batteries or worry that they might run out at an inconvenient time. It's got cool lights around the side and it works well on a lot of surfaces. I use my laptop in a recliner chair and this works running on the edge of the chair just fine. I've also used it on wooden table top and vinyl countertop surfaces with good results. It does take just a second when the laptop boots up to locate but that's minimal. The USB wireless component is small and fits really inconspicuously into an unused port on my laptop without being in the way at all. All in all I've been very happy with the quality and efficiency. This was a great purchase.,mouse
I like that you change button on the back so it stays red and that the blue light stops showing once its done charging. The only thing is I wish it would show you how much battery it has left.,mouse
Good for the price. It also doesn't make the typical mouse clicking sound. You can barely hear it.,mouse
"I bought one to try for myself at home, and loved it so much I ordered two more to use at work. This is the best wireless mouse I've ever had. Great value, too!",headphone
Precise! LED optional  ...  lightweight ~ mouse has a slot for Bluetooth and is rechargeable! No more batteries!Stellar with the 3M precision mouse pad,mouse
"I didn't realize that it was rechargeable vs a battery.  However, it gets the job done and it comfortable to use.",mouse
It looks great and feels good in the hand but the scroller broke after a couple months.,headphone
"I was not fond of this mouse - the ergonomics too flat or charge life. Now after 5 months of average to minimum use it will not charge. My system gives an error message of ""malfunctioning device"". I tried a different USB cord with the same response.I DONOT RECOMMEND THIS MOUSE!",mouse
"Exactly what I was looking for, but get a longer micro-USB to USB-A charging cable. The one it comes with is only about 3 inches long—just long enough to charge off your laptop.",mouse
Appearance & size with built in charging.,keyboard_speakers
I loved this product when I first received it. It lit up and lightweight and just pretty. But that was very short lived. It stopped working after just 2 weeks of using it. Good thing it was on the cheaper side. Maybe it was a disposable mouse that only was supposed to work for a short period?,mouse
"Don't buy it! For one is very inconvenient rechargeable - you never know when mouse is out of juice. Two, mouse is dead after just 2 MONTHS",mouse
Super sleek and super quiet. I love this mouse!!,mouse
"It’s lightweight, colorful, and it charges using a usb. No more changing out batteries. I love that!! It does go into sleep mode when I haven’t used it for a period of time (meaning it’s just idling). I haven’t found out how to wake it up so I just flip it over switch it off and on back again to resume using it.",mouse
"Love the LED lights, connects quickly. The rechargeable feature is great until you forget to recharge",mouse
"I have small hands and my old mouse was too big for my hand.  This mouse is lower, so I don't need to move my wrist and fingers higher to click.  It's not a cure, but it's great that it fits my hand much better and doesn't put as much strain on my hand.",mouse
nice comfy and also very smooth,mouse
Should have had a usb-c charging port on it instead of micro USB. Otherwise it's great for my daughter's 5 year old hands.,mouse
"I bought this mouse and the thing barely moves across the screen not traction! It's very cheaply made, would not recommend at all! I needed one fast cause my old one is going I've had for years. This mouse will not last four years!",mouse
"The mouse functions well. However, after a few days, I noticed that the multicolor lights no longer changes. I hope to find some way to fix it.",mouse
"The charge for this mouse only lasts a day. Very annoying. And it isnt the most quiet either. Feels cheap, performs meh. Dont waste your money.",mouse
Not functional for gaming if the charge doesn't last.,mouse
It works great & is fast.,headphone
I love how cute this mouse is.  I use it for work.  It goes into sleep mode pretty quickly but one click and you're back up and running! I charge it once a week.,mouse
"When my 5 year old wired mouse finally died I started looking at replacement options.  I have never liked wireless mice due to the constant need for batteries and finding some in the office or while traveling is always a huge pain.  Finding out that there are rechargeable options out there was a game changer.  So far after about two weeks of use I love feel of the mouse, the pointer speed which is adjustable, and well the fact that I just plug it in to charge.  While the receiver is USB A and comes with an adapter for USB C, the charging port on the mouse is micro USB, the charging cable that comes with is USB A to micro USB (~6 inches) incase you want a longer one like I did.  One thing though, I do have small hands so the size is perfect, someone with small to medium sized hands will like the feel and size of the mouse, if you have large hands it may feel to small.All in all I liked it so much I ordered a 2nd one for my work laptop bag to replace the wired mouse that I travel with.",mouse
great product,headphone
"I really like this mouse, it is low profile and fits my small hands perfectly. The only thing I really don't like about it is all the flashes of different color lights on it. I need to check to see if there is a way to disable the light feature. Otherwise, a very nice mouse !!!",mouse
"This mouse is wonderful to use for precise things such as line drawing and making flow charts.  It is super comfortable to use.  Unfortunately,  I bought this at the beginning of the year and now it will not charge, so I basically now have a corded mouse which is what I needed to avoid.  So, until I find a highly rated cordless, or a battery operated one, I will be tied to the computer (literally)",mouse
" Light pink, quiet when I click. Smooth across my mouse pad and does not get stuck. LED lights change often. All as advertised from my concern.",mouse
Does all the things a mouse should.  The sleep mode is a nice touch.,mouse
"Was decent first month, very flat so not ergonomic but that's personal taste. Issue is this is already broken. The scroll wheel no longer works.....even for a $10 mouse, that's pretty pathetic since I've had other mouses for years at a time. I had the same issue as other reviews with the cursor randomly jumping too so there might be some design issue with the sensor.",mouse
"This mouse was purchased for a 10 year old girl.  She loves the colors, the fit, and the fact that it works without making noise.",mouse
"I am very happy with this mouse, the colors are interesting and the fact that I don't have to buy batteries is an added plus!!",mouse
Perfect,headphone
It says it is supposed to install hardware automatically and should work once completed however that is not the case for mine and it doesn't tell me what should be installed for me to try to find it on my own,mouse
I hate this product,mouse
Bought this on Prime day and it does not disappoint!  The silent click and long charge life is great.  Love the sleep mode and the slim feel.  Will be buying another one.,mouse
"I'd gotten a mouse/ mouse pad combo at TJ Maxx, but there was no usb to connect it to my laptop-- so i ordered this online. It was a good price and shipped quickly, and I am so glad I ordered it. It's way cooler than the other one I bought and feels like it's made better. It lights up, there's an on/off and sleep mode to preserve battery. Also works so seamlessly and smooth. Great product, thanks!",mouse
I don't use for gaming,mouse
Works great,headphone
