review_title,review_title_length,the_review,the_review_length,review_score,year,month,month_name,day
Does not last,3,"I liked this product, until is stopped working 4 months later.",11,2.0,2022,10,October,24
Not too pleased,3,"I’ve actually purchased two of these and both broke in the same way, the scroller. I do not recommend if you need them for any kind of gaming that requires the scroller. I need to use it for camera angles in game and without it gameplay is awful. I won’t be buying a third one, BUT if that’s not gonna be a problem for you then these will probably be great. They hold a charge well and the light show they put on is really cool.",86,2.0,2022,10,October,24
Great,1,Easy to use,3,5.0,2022,10,October,24
Excellent,1," It's an excellent product. If you're looking for a wireless mouse, a good price and with high load durability, that's correct. I use it for work in ArcGis. Excellent service",30,5.0,2022,10,October,24
8 months in - scroll wheel broke; Short battery life,10,"As a lot of other reviewers said, the scroll wheel broke. I have had a different USB mouse for years without this problem. I'll be going back to it.The battery life is also very short. I'm constantly having to recharge it.",41,2.0,2022,10,October,24
I Do NOT recommend it!!,5,FIrst time that I need to change the battery and it doesnt work anymore!!!  NO duro NI 6 Meses!!!,19,3.0,2022,10,October,24
Quit working after 6 months.,5,Quit working after 6 months. Can't get it to work anymore charging port is messed up I have unplugged it once.,21,2.0,2022,10,October,24
High Defective Dead on Arrival Percentage,6,Repeatedly and without proper functioning my mouse turned on for 1 second then turned right back off again after being plugged into the laptop overnight.  I searched for power issue reviews and found I am not the only one.  I cannot recommend this product and feel it should be taken down due to this.,54,1.0,2022,10,October,23
Poor Quality,2,Stopped working 1 month after I received this,8,1.0,2022,10,October,23
Didn’t charge,2,"Didn’t, work, would not charge",5,1.0,2022,10,October,23
Just right,2,This is exactly what I needed. My favorite features are the quite clicks and the led lights.,17,5.0,2022,10,October,23
Super disappointing,2,I got this less and two months ago and I LOVED it.... until today when it broke when I touched the wheel.,22,2.0,2022,10,October,23
Stopped working about 4 weeks in,6,"It was cute and worked super well while it lasted but about 6 weeks into using it, it just stops. Doesn’t hold a charge, doesn’t stay on. Of course it lasts beyond when you can return it so just don’t take the chance.",43,1.0,2022,10,October,22
It broke in a very short time,7,It already doesn't work,4,1.0,2022,10,October,21
roller stopped working,3,"I have had this a few months and loved it, but now the roller to scroll is not working.",19,3.0,2022,10,October,21
Adapter broke too soon,4,Haven’t had it long. USB-C adapter is already broken so my mouse is currently unusable on my MacBook. Mouse is decent but seems to not hold a charge very long when I was using it.,35,2.0,2022,10,October,21
I'm using this mouse right now.,6,I purchased this mouse back in June of this year. It is now October. The battery life is soo powerful. The color changing is the best experience I could have ha with a mouse. I can't believe how happy I am with this purchase.,44,5.0,2022,10,October,20
Broke Really Fast,3,"The center scroll wheel broke in 3 weeks for no reason. Mouse was not dropped and barely used. Garbage, so you get what you pay for.",26,1.0,2022,10,October,20
Very disappointed,2,"Charged all night, and only last few minutes.This mouse has pretty design, but it's too thin to hold.Just asked for refund but not replaced.",24,2.0,2022,10,October,20
Piece of crap,3,This worked for a few months. I had to charge it overnight 2x a week as I work from home and used this mouse for my work laptop. After several months it stopped holding a charge and would have to be charged daily. Now it won’t charge or work. Super annoying because I really need a mouse and now I have to order another one. I had hoped this would last a LOT longer than 5 months but now I’m putting plastic into the landfill and it sucks.,88,1.0,2022,10,October,20
This mouse sucks!,3,"You could think it's a decent mouse for the price you paid. But, in reality, it is an uncomfortable mouse and barely works. The only good thing about this mouse is that it comes with a USB to USB-c adapter, which comes in handy.",44,1.0,2022,10,October,20
A good value,3,"A very reasonably priced cordless, rechargeable mouse with 3-button control with scroll wheel, which is my preference rather than the MacBookAir track pad or the Mac Mouse for the desktop Mac.",31,5.0,2022,10,October,20
It runs fast and smooth with little lag,8,"I would buy it against n. It’s pretty, not really bling, just sleek.",13,5.0,2022,10,October,20
Broke 2 weeks after return period,6,It has a soft touch,5,1.0,2022,10,October,19
nice mouse,2,The scroll feature on the mouse broke 2 weeks after the return period otherwise I like it.,17,5.0,2022,10,October,19
broke after 4 weeks,4,Its a nice mouse but i'm not sure if its good for gaming.,13,1.0,2022,10,October,18
Won’t charge. Won’t work.,4,cool and easy to use at first. but broke with in a few weeks of use.,16,1.0,2022,10,October,18
does not work,3,This product simply doesn’t work. The charger connection port is mishapen.,11,1.0,2022,10,October,18
You get what you pay for.,6,"I hated this item, they described how easy it was to use and I received mine and it does not connect. after doing my research on it , its suppose to be compatible with my laptop and its not, so now I have to order a different one, im very disappointed in this product.",54,1.0,2022,10,October,18
GREAT MOUSE,2,"Feels very cheap. Wouldn’t charge on my laptop, had to plug it in on my desktop to charge it. Finally got it charged just for it to die after 2 hours of non-continuous use. It’s getting returned.",37,4.0,2022,10,October,18
Mouse,1,My first one I had about 2 weeks and the wheel broke loose and it would not work. I received a replacement in two days and it's perfect! Can't blame them for a manufacturing issue. I love my pink mouse. I highly recommend it. I use it 8 hours a day 5 days a week.,55,5.0,2022,10,October,18
Only lasted 9 months before it stopped working,8,It works well.  It does what I purchased it for.,10,2.0,2022,10,October,17
Second mouse the wheel stops working,6,Scroll interior post broke causing the mouse to no longer work. Bought in Jan 2022 broke Oct 2022. Otherwise nice functioning overall,22,1.0,2022,10,October,17
No good!,2,"I purchased this mouse as the wheel on my old one quit working, I loved the design and wanted another so I ordered it and received it Aug 31, 2022 It is Oct 17, 2022, and the wheel just quick working again.  I would recommend looking at a different mouse if you prefer your scrolling feature.",56,1.0,2022,10,October,17
"Lasted 3 months, stopped charging",5,This item is poorly made. Battery died within 40 minutes after full charge (3 hours) It was returned the same day it was delivered.,24,1.0,2022,10,October,17
Purchased on August 11th It died on October 17th,9,"Mouse worked fine for 3 months, charged it every week or so. Then wouldn't charge via USB. Not good option for those who need something reliable.",26,1.0,2022,10,October,17
Didn't even last a month!,5,"Received product on the 12th, charged it and started using it. The charge didn't last that long maybe a day at most. But today (10/17/22) it doesn't work at all. Glad I kept my old battery one.",37,1.0,2022,10,October,17
Stopped working,2,"This mouse was great, up until today when the scroll finger pad completely broke? The scroll function is loose and now wont work at all :(",26,2.0,2022,10,October,17
Didn't work very long,4,I've had this for a month and a half it's stopped working.  I've tried charging repeatedly and it does nothing.,20,2.0,2022,10,October,17
Broke after a month,4,This worked great for 5 months then one day just stopped working...,12,2.0,2022,10,October,17
It was ok,3,Worked well for the first few weeks then Broke right after return window closed.,14,3.0,2022,10,October,16
Stopped working fast!!,3,"It was ok for a cheap mouse, it started lagging after a few months, and eventually quit working over all",20,1.0,2022,10,October,16
Charge only lasts an hour,5,Broke in less than 2 months. Scrolling won't workWouldn't recommendQuit right outside the return window,15,1.0,2022,10,October,16
This was challenging for me to set up but eventually did it!,12,Ergonomic and fits my hand well.Pretty when charged.***mine doesn’t hold a charge well. It only lasts a couple hours at most.,21,5.0,2022,10,October,16
..,1,Certainly helps to look at instructional pictures and to try to translate what the instructions mean,16,1.0,2022,10,October,16
Works great,2,The little wheel broke within the 2nd day,8,5.0,2022,10,October,15
Wake up! Hello mouse Wake up!,6,Performs as expected,3,3.0,2022,10,October,15
Feels a inexpensive,3,"Mouse seems to work ok. Looks nice, easy install, etc, Biggest complaint is the time out and wake up feature. Every time I go to use the PC, it's asleep. Then have to either click a button (which may/may not cause an action on the PC) or pick it up and down several times. Too annoying so stopped using it. Might keep it aside for use with my laptop when traveling, Definitely not for daily use.",76,4.0,2022,10,October,15
Doesn’t work with USB-C,4,"Not bad, would rather have purchased apple",7,2.0,2022,10,October,15
Love the look!,3,The box came absolutely smashed and the mouse doesn’t work with the USB-C adapter that’s included with it.,18,5.0,2022,10,October,14
Have to replace every 6 months at least.,8,Broke within a week.,4,2.0,2022,10,October,14
Good mouse,2,"This is slim, quiet and I absolutely love the changing of colors. Best mouse I've had !!",17,5.0,2022,10,October,14
Small and sleek,3,This worked great at first but have to keep it on power or it will only last about 2 hours after about 5 months.,24,5.0,2022,10,October,14
Scroll wheel broke at six weeks,6,I bought this mouse to match the keyboard I bought for my daughter to use with her laptop. She does online school and likes having a mouse as well as a keyboard. She likes that they match and both light up. I didn't know how it would be for gaming.,50,1.0,2022,10,October,13
Quick Quiet,2,Very easy to use and sleek design. It is small enough to fit easily into my computer bag when I have to take it with me.,26,5.0,2022,10,October,13
Did not work with intended laptop,6,Good feel and ergonomics but scroll wheel broke at six weeks. Design/plastic quality selection does not live up to common everyday use.,22,2.0,2022,10,October,13
"Great, quiet-click mouse",3,"This is nice little mouse, very quiet clicking, and I get lots of compliments on the changing color lights.",19,5.0,2022,10,October,13
nice mouse for gaming,4,Did not work with intended laptop,6,5.0,2022,10,October,13
"Smooth, Sleek, Great clicky clack",5,"Sleek, ergonomic feel, quiet clicker. Easy to charge, USB easy to install. Would definitely recommend for the price!",18,5.0,2022,10,October,13
utterly worthless,2,I just purchased this mouse to use with my new laptop and am impressed with the quietness of the buttons and it has helped me win on my games,29,1.0,2022,10,October,13
Looks nice but does not last,6,"Love the clickity clicks of the mouse, got it for my daughter for online school work and she loves the damn thing.",22,1.0,2022,10,October,13
You get what you pay for,6,"This mouse would not connect to my compute despite multiple attempts following the instructions given. As is typical of many Amazon products, this product is cheaply made and not worth wasting your money on.I would suggest avoiding making purchases from this brand in the future, and strongly suggest NOT BUYING THIS MOUSE. Unless throwing money away on broken pieces of junk that don't work is a past time of yours. Then knock yourself out.",74,1.0,2022,10,October,12
Cheaply made,2,Bought the item and scroll button and left button stopped working after about 3 months of use,17,1.0,2022,10,October,12
love that this is rechargeable,5,Very ergonomic,2,5.0,2022,10,October,07
Love it,2,"Item worked fine for 5 months and then no longer would turn on. And yes, it was fully charged. Of course it was past the return date, so its basically junk... Save your money and buy a name brand",39,1.0,2022,10,October,12
They don't work!,3,"The mouse is very slim but is so cheaply made don't dare drop it or it's going to break, I won't by another one",24,1.0,2022,10,October,12
"Nice, but...",2," Bought this mouse for my office to go with the theme and love it, was kind of frustrated at first because it was tricky getting it to come on but after holding the two buttons it worked. Great purchase.",39,4.0,2022,10,October,12
this does not work,4,"These things stop working after a few weeks! I got two and one it just refuses to charge or stay on. The other, the scroller fell! Very poorly made! DO NOT PURCHASE!",32,1.0,2022,10,October,12
Stopped working,2,"I like how slim it is, and the colors are a nice touch without being distracting. Clicking is responsive, though the movement was a little glitchy (for me) sometimes. My biggest complaint is that the USB sticks out super far if you have to use the USB-C adapter.",48,2.0,2022,10,October,12
Stopped Working,2,"I was super exited for this to come, and it worked for about five minuted! The only thing that worked was the USB to type-C adapter!😠",26,1.0,2022,10,October,11
"Non functional product, this store is inattentive to its customers",10,I used it for a month and then it stopped working..,11,1.0,2022,10,October,11
Love it,2,"Love the color, love how it changes colors and love how it holds a charge!",15,5.0,2022,10,October,11
Works great on Mac Book Pro.,6,"I bought this mouse because it said it was rechargeable and I wouldn’t have to remember to always have batteries around. I used it for a few days and once the better inside died, I went to recharge it. I charged it for 5+ hours (even though it says the charge time is 2-3 hours) and then went to go use it and it does not work",67,5.0,2022,10,October,11
"Great for one month, then not so great.",8,"Put one star because this store sent me a bad mouse twice. the first was working, then not working. the next did not work at all. Just wasted time and money.",31,3.0,2022,10,October,10
Broke after 1 month,4,I love the sleep mode. So easy to use.,9,1.0,2022,10,October,10
Scroll Wheel Broke after two months,6,Works on MacBook Pro.,4,1.0,2022,10,October,10
Garbage,1,"I loved this little mouse. It looked great. It felt great in my hand. The wheel was nice for scrolling. The battery even held a charge for what I thought was a reasonable amount of time. I would categorize my usage as light-moderate use (and no abuse).Then came the day, about a month after arrival, right after the return window closed, that it started glitching. Now, it drops off, not responding, then will work again, then drop off again and I’m not talking about sleep mode- this is during active use. Back and forth. Back and forth. It’s frustrating, probably more because I so desperately want a mouse instead of my laptop’s trackpad.All that said, I didn’t spend a whole lot of money on this mouse, so I get what I pay for. I just wish I had gotten a little more than a month before the glitching.",148,2.0,2022,10,October,10
Works great. Compact. Great value,5,The scroll button broke after just a month. Would not recommend,11,5.0,2022,10,October,10
"Nice, but not durable",4,"I was happy with this purchase until the mouse wheel quit working. I purchased this device on July 24, 2022 and a week ago (September 2022) it quit working. After looking through the questions, I see others have experienced this too. I wouldn't purchase this item. It's a known issue.",50,1.0,2022,10,October,10
Good but…,2,"I got this for my mother because she wanted something pink and cheap. It really feels like its made of trash. It does seem to work well enough, though the tracking is inconsistent at best. The ergonomics are really non existent, doesn't seem like it's made for human hands.Overall, if you're buying for somebody who wants something cheap and pink and cant tell the difference go for it, but if you actually care about having a half decent mouse skip this one.",82,3.0,2022,10,October,10
You have to remember to turn on,7,Like it’s size. Perfect fit for laptop bag,8,4.0,2022,10,October,10
cute but cheaply made,4,"Nice mouse, a little too lightweight for my liking. Battery lasts a while.Track wheel already broke, unfortunately.",17,3.0,2022,10,October,10
I bought two and both broke,6,"The on/off switch often feels like there is sand in the mouse when moving it, it’s not a smooth move like I would have expected. I like the mouse but that roughness is annoying at times.",36,1.0,2022,10,October,10
still works,2,It’s taken me a while to remember to turn it on after it sits awhile.,15,5.0,2022,10,October,10
Quiet and pretty,3,you get what  you pay for,6,5.0,2022,10,October,10
Delivered as expected,3,I bought one and the piece going into my laptop didn’t work. The second broke easily.,16,4.0,2022,10,October,10
Battery lasted me a month,5,very good product.,3,5.0,2022,10,October,09
Good product,2,I love this mouse it’s quiet and pretty and the battery lasts a while I probably charge it once maybe twice a week,23,5.0,2022,10,October,09
Just ok,2,"It’s ergonomic and stylish. Very cute colors and cool lights. Comes with all the attachments like cords for charging and it has a small indent under the mouse to keep the part that plugs into your laptop. I’m forever losing mine so that’s a great feature. Very quiet as well. I recommend it for a nice, cheap little mouse.",59,2.0,2022,10,October,09
its great,2,Amazing feels cheap but is very durable,7,5.0,2022,10,October,09
holds a charge for a long time,7,"Very nice mouse , love the size and feel",9,5.0,2022,10,October,08
Excellent deal,2,Very cheap mouse. Connectivity is poor at times.,8,5.0,2022,10,October,08
Best mouse I ever bought,5,love the colors so far ok,6,5.0,2022,10,October,08
Wonderful,1,"i love the different colors, easy to find at night.  holds a charge for a few days.",17,5.0,2022,10,October,08
Do not buy,3,"Soft, light, smooth.",3,1.0,2022,10,October,08
Great fits in hand,4,I like how light and easy to handle is!,9,5.0,2022,10,October,07
well made,2,Love it,2,5.0,2022,10,October,07
Squeaky scroll wheel,3,"I only had this item for a month if that, and it has already stopped working. It will not hold a charge and it is not the cable. I shouldn’t have ignored the other comments about it not working. Don’t make my same mistake!",44,2.0,2022,10,October,07
Excellent value,2,its a slick well made mouse and i will be buying another one thanks to manufacturer for nice creativity in build!!,21,5.0,2022,10,October,07
Beautiful but only lasted a couple months,7,"I really liked this mouse when I first got it. It was low profile, had a nice soft and quiet click, had rainbow lights, and was available in a rose gold color. I thought I'd made a great purchase. Now, I've had it for less than 2 months and the scroll wheel is so squeaky. I can't stand to hear it when I'm scrolling through documents. Bummed it was a lemon!",71,5.0,2022,10,October,07
Mouse roller broken twice,4,i use the mouse instead of mousepad,7,1.0,2022,10,October,06
Light & Useful,3,very nice,2,5.0,2022,10,October,06
Clicky Wheel BROKE,3,Prompt delivery on an awesome product,6,1.0,2022,10,October,06
Cheaply made,2,"The colors were great while it worked. The wheel broke, and the usb fell apart when pulling it out of the computer.",22,1.0,2022,10,October,06
Perfect little mouse,3,Bought one at first broke within a couple of months thinking maybe it was my daughter Bought another and broke again within a couple of months  the middle wheel on the mouse is defective and it the same problem from the first one I bought,45,5.0,2022,10,October,06
It worked for 4 days only,6,"Lightweight mouse, easy to charge, CAN USE WHILE CHARGING, and I like the teal color I got with fun colors lighting up. Makes my office work and time at the computer feel a little less boring. Easy to connect and works well with iMac.",44,1.0,2022,10,October,06
Mouse failed within first 6 months of light use.,9,"so sad - been using for ~2 months only, and the scroll wheel broke already. bye bye scrolling feature. kind of a turn off to use it now that its broken",31,1.0,2022,10,October,06
Love,1,"You have to press down very hard on the mouse, it gets very annoying. I wish I still had the box I’d return it",24,5.0,2022,10,October,06
Worked great..then..,2,Perfect little mouse! This mouse is so easy to use and to charge up it’s lightweight I love the little colors and it fits my hand perfectly,27,3.0,2022,10,October,05
Don’t buy it!!,3,"This product only lasted 4 days, I thought it was not charged but it not that",16,1.0,2022,10,October,05
The roll broke at the first week,7,"I don’t use this mouse often, and the mouse has completely failed. Won’t turn on, it does light up when it is charging but won’t turn on and stay on. Completely unusable. Pretty big bummer since I’m past return.. I do not recommend.",43,3.0,2022,10,October,04
Good device,2,Perfect in my office love the lightweight and easy to use.,11,5.0,2022,10,October,04
:[,1,"The mouse worked great, until one day, it stopped scrolling. I've had it just about month...the rest of the mouse seems to be working but the scroll wheel is no longer responsive.",32,1.0,2022,10,October,04
Scroll wheel stopped working,4,"Do not buy this!!! I bought this in August 21st, return period is only 30 days and it stopped working in October 3rd. Tried different charging cords thought maybe it was the cord. But no lock just completely dead.",39,1.0,2022,10,October,03
It doesn't stay charged for very long,7,The mouse has good shape and charges quickly but the roll just broke after one week of use,18,4.0,2022,10,October,03
"great value, sleek design easy to use",7,Sleep mode works well,4,5.0,2022,10,October,03
It's good,2,"Simple to use.  Long battery life.  recharges by plugging into your computer.  This is the first mouse i've enjoyed using that wasn't wired.  This works much better than the old battery opperated ones, and has a much longer battery life.",40,5.0,2022,10,October,02
Really liked it at first…,5,It's a no for me.,5,3.0,2022,10,October,02
Stopped working,2,Lasted a little over  a month and the scroll wheel stopped working.,12,3.0,2022,10,October,02
Really nice mouse,3,It doesn't stay charged for very long,7,5.0,2022,10,October,02
2nd Broken Mouse from this seller,6,"Just plugged it in and it worked perfectly.  I wanted a small, low profile mouse to use when I travel, so far this one seems great.  The Chromebook I travel with only has usb-C ports, and I did think that that this mouse came with a usb-c receiver, but it doesn't.  It comes with usb receiver and an adapter which works fine but together they are over an inch long which is a little awkward.  It means I have to be very careful not to bump it and beak it.  If the receiver were smaller this would be ideal.  Overall, great value.",102,1.0,2022,10,October,02
Already broken,2,Quiet and just what I was looking for,8,1.0,2022,10,October,02
Questionable,1,"It was great to begin with. For the price I wasn’t expecting a lot. However, the scroll wheel quit working within the first 5 times of using it which is one of the reasons I purchased it to begin with 🥲",41,2.0,2022,10,October,02
Broker after 2 months,4,The mic stopped working and charging after a few weeks,10,3.0,2022,10,October,02
I do not recommend,4,"It looks awesome and is really quiet. only had it for a short time, but I love it.",18,1.0,2022,10,October,02
don't do it!,3,Terrible product!! First mouse broke within a week. Second mouse broke within 6 months!,14,1.0,2022,10,October,01
I love it!!,3,This is broken within a month.,6,5.0,2022,10,October,01
Can't beat the price,4,Mine stopped working… it doesn’t work on a mouse pad. And freezes when I use it on top of a flat surface.,22,5.0,2022,10,October,01
Works and fun,3,"Cheap, broke after 2 months",5,5.0,2022,10,October,01
Good mouse.,2,The product is cheap and worked well for the first 2 months,12,5.0,2022,09,September,30
Mine dos not hold a charge,6,Stopped working in less than a week.  Just up and died...and now it has to be returned and look for another one.  Save yourself the effort and keep on lookin'...this ain't it!,32,1.0,2022,09,September,30
Never worked,2,"Battery takes forever to die which is great, sleep mode helps a lot. It’s thinner and smoother than any other mouse I’ve own. Love the lights!!!!",26,1.0,2022,09,September,30
Good,1,Purchased two. Works as described.You can't beat this price.Highly recommend!,10,4.0,2022,09,September,30
"Works well enough, but seems kinda fragile",7,"I got it for my husband, he chose his colors lol",11,3.0,2022,09,September,30
Movement of cursor is very delayed.,6,I like that it does not need batteries. The battery lasts a long time.,14,2.0,2022,09,September,30
Not worth time and money,5,"I read the other reviews and it seems great.I fully charge mine and it last a few hours.If the charge lasted, this would be a good mouse.I have to rate mine a 'one'.",33,1.0,2022,09,September,30
Fun and Looks Nice,4,"Right out of the box, the mouse never worked. The buttons activate, but the mouse never moved the cursor.  Junk.",20,5.0,2022,09,September,30
Battery life update,3,Very good,2,1.0,2022,09,September,29
Only the c-type converter had an issue. Everything else all good,11,"I bought one for my laptop and 2 days after I got it, the wheel stopped working and I could hear something loose inside it. I returned it for a replacement. The new one seems to be working fine, although sometimes the cursor glides smoothly across the screen and other times it jumps around a lot. Maybe this is just something wireless mice do? I don't know; I've never had one before.",72,5.0,2022,09,September,29
Sleek design and quite,4,Tried 3 times using this in the week I've had it.  I even checked to make sure it was fully charged.Turned it off/on several times and no improvement. Movement of cursor is very slow/delayed.  Very disappointed with functionality.  I went back to using my battery operated mouse.,47,5.0,2022,09,September,29
This mouse does work with Windows 11 even though the instructions in the box does not say it does.,19,"Initially I thought it’s a great piece but slowly I am struggling to use it as it stops working or goes to sleep for long. I does not get activated by just simply moving a bit, has to moved few times or even hit it on pad at time.",49,5.0,2022,09,September,29
"started out great, but the track wheel stopped working to scroll",11,"I bought this for my work laptop and I really like it.  The coloring changing option is fun, but I don’t turn that on very often so the charge lasts longer.  I have small hands and it fits my hand comfortably.",41,2.0,2022,09,September,29
Lags sometimes,2,"I got this in June and it’s now the end of September. It was great at first and lasted multiple days on a charge, but now the battery dies after just a couple of hours. And it dies randomly without any warning so it’s always in the middle of using it. Frustrating, this lasted maybe 3 months in total",59,3.0,2022,09,September,29
Stopped working,2,The c-type converter from this item wasn’t working so I had to use the one I had. Everything else was working good other than that.,25,1.0,2022,09,September,28
Watch the tutorial.,3,Love this mouse it has a sleek design and works wonderful! Love the quietness and the perfect fit for my small hands.,22,5.0,2022,09,September,28
Works well,2,Nice mouse and l like that the mouse sleeps to save the battery.,13,5.0,2022,09,September,28
"Lasted a year, does the bare minimum",7,"looks like the track wheel is connected to an internal device using a very fragile thin piece of plastic.  I was simply using the mouse (I didn't drop it or slam it) and suddenly the tactile feedback of using the track wheel stopped and the mouse would no longer scroll the screen.  too bad, I actually liked the mouse until then.",61,2.0,2022,09,September,28
The Scroll button spoilt after 2 weeks of purchase,9,Mouse is nice and lightweight and quiet. But its lags and jumps around sometimes,14,1.0,2022,09,September,28
Scroll bottom stopped working,4,Stopped working a few weeks after purchase.,7,2.0,2022,09,September,28
glitchy and charge doesn't last,5,"I admit I was going to return this item because I did not understand the little USB attachment was on the bottom of the device.  I had charged it, but was using the little black USB insert in my laptop which did not work.  Once I inserted the white short USB from underneath the pointer, my computer accepted it and it works great!  I am still learning how to use these devices at age 74.  It is gorgeous and works!",80,2.0,2022,09,September,28
Works great! LED lighting is nice. Quick and simple setup. Nice,11,Mouse works well and is a good value for the inexpensive price.,12,4.0,2022,09,September,28
